date_code,country,trade_value_usd,date
202301,China,284890853822.0,2023-01-01
202301,Finland,6790206272.616,2023-01-01
202301,France,52185146843.66,2023-01-01
202301,Germany,139553698569.058,2023-01-01
202301,India,35803967134.579,2023-01-01
202301,Italy,51248563631.268,2023-01-01
202301,USA,165367392270.0,2023-01-01
202302,China,209004102335.0,2023-02-01
202302,Finland,5370848118.437,2023-02-01
202302,France,53144015538.959,2023-02-01
202302,Germany,142244471966.542,2023-02-01
202302,India,37015585332.961,2023-02-01
202302,Italy,56210961004.101,2023-02-01
202302,USA,158903625574.0,2023-02-01
202303,China,303250247751.0,2023-03-01
202303,Finland,8287701792.247,2023-03-01
202303,France,59778652759.646,2023-03-01
202303,Germany,163396316089.323,2023-03-01
202303,India,41957815630.248,2023-03-01
202303,Italy,63676072908.24,2023-03-01
202303,USA,184407050413.0,2023-03-01
202304,China,289477526508.0,2023-04-01
202304,Finland,6993650945.003,2023-04-01
202304,France,51595594972.628,2023-04-01
202304,Germany,132544671706.226,2023-04-01
202304,India,34618433634.302,2023-04-01
202304,Italy,52158029065.479,2023-04-01
202304,USA,162335030837.0,2023-04-01
202305,China,281802842544.0,2023-05-01
202305,Finland,7194020649.149,2023-05-01
202305,France,58276316344.633,2023-05-01
202305,Germany,144864595261.512,2023-05-01
202305,India,34956820518.881,2023-05-01
202305,Italy,62084323667.268,2023-05-01
202305,USA,166622285362.0,2023-05-01
202306,China,284065798322.0,2023-06-01
202306,Finland,6786732734.6,2023-06-01
202306,France,61147281777.464,2023-06-01
202306,Germany,152986775001.163,2023-06-01
202306,India,34317080479.908,2023-06-01
202306,Italy,59904535788.706,2023-06-01
202306,USA,167201631978.0,2023-06-01
202307,China,281291855548.0,2023-07-01
202307,Finland,5918587532.299,2023-07-01
202307,France,54597793194.128,2023-07-01
202307,Germany,141322536988.644,2023-07-01
202307,India,34478953784.729,2023-07-01
202307,Italy,59196134576.897,2023-07-01
202307,USA,159576832230.0,2023-07-01
202308,China,284460957657.0,2023-08-01
202308,Finland,6667228115.939,2023-08-01
202308,France,46337492908.334,2023-08-01
202308,Germany,136278856303.272,2023-08-01
202308,India,38302245304.627,2023-08-01
202308,Italy,45749165674.622,2023-08-01
202308,USA,171447831169.0,2023-08-01
202309,China,298926382476.0,2023-09-01
202309,Finland,6831715139.475,2023-09-01
202309,France,51866884899.344,2023-09-01
202309,Germany,139763403590.137,2023-09-01
202309,India,34403191903.188,2023-09-01
202309,Italy,55183736987.328,2023-09-01
202309,USA,171220945517.0,2023-09-01
202310,China,274216703029.0,2023-10-01
202310,Finland,6630796272.893,2023-10-01
202310,France,55323775646.355,2023-10-01
202310,Germany,141070609879.839,2023-10-01
202310,India,33433976501.375,2023-10-01
202310,Italy,59713199217.104,2023-10-01
202310,USA,178034414709.0,2023-10-01
202311,China,292673360655.0,2023-11-01
