Date,Series,Value
2023-01-01,Volume Intensity,0.0014
2023-01-02,Volume Intensity,0.0036
2023-01-03,Volume Intensity,0.01
2023-01-04,Volume Intensity,0.0149
2023-01-05,Volume Intensity,0.0121
2023-01-06,Volume Intensity,0.0042
2023-01-07,Volume Intensity,0.0022
2023-01-08,Volume Intensity,0.0315
2023-01-09,Volume Intensity,0.0117
2023-01-10,Volume Intensity,0.031
2023-01-11,Volume Intensity,0.0066
2023-01-12,Volume Intensity,0.0067
2023-01-13,Volume Intensity,0.0126
2023-01-14,Volume Intensity,0.0047
2023-01-15,Volume Intensity,0.0083
2023-01-16,Volume Intensity,0.006
2023-01-17,Volume Intensity,0.0115
2023-01-18,Volume Intensity,0.009
2023-01-19,Volume Intensity,0.0101
2023-01-20,Volume Intensity,0.0054
2023-01-21,Volume Intensity,0.0021
2023-01-22,Volume Intensity,0.0029
2023-01-23,Volume Intensity,0.0131
2023-01-24,Volume Intensity,0.009
2023-01-25,Volume Intensity,0.0089
2023-01-26,Volume Intensity,0.0142
2023-01-27,Volume Intensity,0.0091
2023-01-28,Volume Intensity,0.0032
2023-01-29,Volume Intensity,0.0046
2023-01-30,Volume Intensity,0.0109
2023-01-31,Volume Intensity,0.0075
2023-02-01,Volume Intensity,0.0061
2023-02-02,Volume Intensity,0.0207
2023-02-03,Volume Intensity,0.008
2023-02-04,Volume Intensity,0.0016
2023-02-05,Volume Intensity,0.0059
2023-02-06,Volume Intensity,0.022
2023-02-07,Volume Intensity,0.0145
2023-02-08,Volume Intensity,0.0104
2023-02-09,Volume Intensity,0.011
2023-02-10,Volume Intensity,0.0329
2023-02-11,Volume Intensity,0.0032
2023-02-12,Volume Intensity,0.0089
2023-02-13,Volume Intensity,0.0077
2023-02-14,Volume Intensity,0.0067
2023-02-15,Volume Intensity,0.0106
2023-02-16,Volume Intensity,0.007
2023-02-17,Volume Intensity,0.0079
2023-02-18,Volume Intensity,0.0016
2023-02-19,Volume Intensity,0.0012
2023-02-20,Volume Intensity,0.0085
2023-02-21,Volume Intensity,0.008
2023-02-22,Volume Intensity,0.0051
2023-02-23,Volume Intensity,0.0071
2023-02-24,Volume Intensity,0.0047
2023-02-25,Volume Intensity,0.0021
2023-02-26,Volume Intensity,0.0048
2023-02-27,Volume Intensity,0.0033
2023-02-28,Volume Intensity,0.0066
2023-03-01,Volume Intensity,0.0106
2023-03-02,Volume Intensity,0.0181
2023-03-03,Volume Intensity,0.01
2023-03-04,Volume Intensity,0.0075
2023-03-05,Volume Intensity,0.0041
2023-03-06,Volume Intensity,0.008
2023-03-07,Volume Intensity,0.0094
2023-03-08,Volume Intensity,0.0037
2023-03-09,Volume Intensity,0.0092
2023-03-10,Volume Intensity,0.0045
