URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/FOXNEWSW_20241001_130000_Americas_Newsroom#start/1382/end/1417,10/1/2024 13:23:17,FOXNEWS,Americas Newsroom,FOXNEWSW_20241001_130000_Americas_Newsroom,https://archive.org/download/FOXNEWSW_20241001_130000_Americas_Newsroom/FOXNEWSW_20241001_130000_Americas_Newsroom.thumbs/FOXNEWSW_20241001_130000_Americas_Newsroom_001377.jpg,"when people got a little more familiar with supply chain disruption. on the surface they look similar. if it lasts for a while you'll see similar amount of congestion with lines at west coast ports."
https://archive.org/details/FOXNEWSW_20240930_150000_The_Faulkner_Focus#start/717/end/752,9/30/2024 15:12:12,FOXNEWS,The Faulkner Focus,FOXNEWSW_20240930_150000_The_Faulkner_Focus,https://archive.org/download/FOXNEWSW_20240930_150000_The_Faulkner_Focus/FOXNEWSW_20240930_150000_The_Faulkner_Focus.thumbs/FOXNEWSW_20240930_150000_The_Faulkner_Focus_000689.jpg,"strike. tends of thousands of union workers could walk off the job beginning tonight at midnight. the national retail federation is warning the supply chain disruption would raise prices on everything. this will pile onto the pain"
https://archive.org/details/FOXNEWSW_20240929_220000_Fox_Report_With_Jon_Scott#start/1160/end/1195,9/29/2024 22:19:35,FOXNEWS,Fox Report With Jon Scott,FOXNEWSW_20240929_220000_Fox_Report_With_Jon_Scott,https://archive.org/download/FOXNEWSW_20240929_220000_Fox_Report_With_Jon_Scott/FOXNEWSW_20240929_220000_Fox_Report_With_Jon_Scott.thumbs/FOXNEWSW_20240929_220000_Fox_Report_With_Jon_Scott_001138.jpg,"going to redcross.org/fox forward. . jon: trade had the biggest supply chain disruption since covid could be coming. how a dock worker strike could affect you. tennessee senator marsha"
https://archive.org/details/FOXNEWSW_20240929_110000_FOX_and_Friends_Sunday#start/1462/end/1497,9/29/2024 11:24:37,FOXNEWS,FOX and Friends Sunday,FOXNEWSW_20240929_110000_FOX_and_Friends_Sunday,https://archive.org/download/FOXNEWSW_20240929_110000_FOX_and_Friends_Sunday/FOXNEWSW_20240929_110000_FOX_and_Friends_Sunday.thumbs/FOXNEWSW_20240929_110000_FOX_and_Friends_Sunday_001437.jpg,"inflation and if we don't want to see supply chain disruption like this country has not seen since early big days of the pandemic the president has to get involved in the strike and bring both parties back to the table and we have to negotiate this deal. agriculture groups are urging"
https://archive.org/details/FOXNEWSW_20240929_100000_FOX_and_Friends_Sunday#start/1807/end/1842,9/29/2024 10:30:22,FOXNEWS,FOX and Friends Sunday,FOXNEWSW_20240929_100000_FOX_and_Friends_Sunday,https://archive.org/download/FOXNEWSW_20240929_100000_FOX_and_Friends_Sunday/FOXNEWSW_20240929_100000_FOX_and_Friends_Sunday.thumbs/FOXNEWSW_20240929_100000_FOX_and_Friends_Sunday_001798.jpg,"cars, electronics, someone from the administration said yesterday they did not think it was good to be a major impact on the economy, i don't think they're paying close attention. if they want to continue to tame inflation we don't want to see supply chain disruption this"
https://archive.org/details/MSNBCW_20240919_150000_Jose_Diaz-Balart_Reports#start/2228/end/2263,9/19/2024 15:37:23,MSNBC,Jose Diaz-Balart Reports,MSNBCW_20240919_150000_Jose_Diaz-Balart_Reports,https://archive.org/download/MSNBCW_20240919_150000_Jose_Diaz-Balart_Reports/MSNBCW_20240919_150000_Jose_Diaz-Balart_Reports.thumbs/MSNBCW_20240919_150000_Jose_Diaz-Balart_Reports_002219.jpg,"in science act, that gives us the ability to make those chips in new mexico again and places around the country, that's one of the ways we insulate ourselves from the kind of supply chain disruption that raised inflation on every country on the globe."
https://archive.org/details/FOXNEWSW_20240814_180000_America_Reports#start/1694/end/1729,8/14/2024 18:28:29,FOXNEWS,America Reports,FOXNEWSW_20240814_180000_America_Reports,https://archive.org/download/FOXNEWSW_20240814_180000_America_Reports/FOXNEWSW_20240814_180000_America_Reports.thumbs/FOXNEWSW_20240814_180000_America_Reports_001678.jpg,"it is going back down because the inflation from the mismanagement of the pandemic was supply chain disruption. we have seen it the last couple years, turning around because of the policies of this administration. it's not where we need to be."
https://archive.org/details/CNNW_20240405_190000_CNN_News_Central#start/1710/end/1745,4/5/2024 19:28:45,CNN,CNN News Central,CNNW_20240405_190000_CNN_News_Central,https://archive.org/download/CNNW_20240405_190000_CNN_News_Central/CNNW_20240405_190000_CNN_News_Central.thumbs/CNNW_20240405_190000_CNN_News_Central_001709.jpg,"end of may, will open the full channel. a full channel my past four, it's not supply chain"
https://archive.org/details/MSNBCW_20240405_190000_Katy_Tur_Reports#start/1702/end/1737,4/5/2024 19:28:37,MSNBC,Katy Tur Reports,MSNBCW_20240405_190000_Katy_Tur_Reports,https://archive.org/download/MSNBCW_20240405_190000_Katy_Tur_Reports/MSNBCW_20240405_190000_Katy_Tur_Reports.thumbs/MSNBCW_20240405_190000_Katy_Tur_Reports_001677.jpg,"full channel. [ applause ] my task force on supply chain disruption has been able to engage with union, rail, trucking shipping, state and local leaders to minimize the impact on our supply chains. and i'm proud to announce that the federal government will provide over $8 million in grant"
https://archive.org/details/MSNBCW_20240331_130000_The_Weekend#start/2926/end/2961,3/31/2024 13:49:01,MSNBC,The Weekend,MSNBCW_20240331_130000_The_Weekend,https://archive.org/download/MSNBCW_20240331_130000_The_Weekend/MSNBCW_20240331_130000_The_Weekend.thumbs/MSNBCW_20240331_130000_The_Weekend_002910.jpg,"agricultural impact. other critical necessities that the entire country needs. not just the state of maryland. we have a supply chain disruption task force. we learned about supply chain over the last four years."
